match_id,season_id,balls_per_over,city,match_date,event_name,match_number,gender,match_type,format,overs,season,team_type,venue,toss_winner,team1,team2,toss_decision,match_winner,win_by_runs,win_by_wickets,result,player_of_match
335982,2008,6,M Chinnaswamy Stadium,2008-04-18,Indian Premier League,1.0,male,T20,T20,20,2008,club,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Punjab Kings,field,Punjab Kings,140.0,,win,46.0
1082591,2017,6,"Rajiv Gandhi International Stadium, Uppal",2017-04-05,Indian Premier League,1.0,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders,35.0,,win,15.0
1082592,2017,6,Maharashtra Cricket Association Stadium,2017-04-06,Indian Premier League,2.0,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,Mumbai Indians,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,,7.0,win,36.0
1082593,2017,6,Saurashtra Cricket Association Stadium,2017-04-07,Indian Premier League,3.0,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,field,Punjab Kings,,10.0,win,57.0
1082594,2017,6,Holkar Cricket Stadium,2017-04-08,Indian Premier League,4.0,male,T20,T20,20,2017,club,Holkar Cricket Stadium,Punjab Kings,Punjab Kings,Mumbai Indians,field,Punjab Kings,,6.0,win,71.0
1082595,2017,6,M.Chinnaswamy Stadium,2017-04-08,Indian Premier League,5.0,male,T20,T20,20,2017,club,M.Chinnaswamy Stadium,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,bat,Royal Challengers Bengaluru,15.0,,win,4.0
1082596,2017,6,"Rajiv Gandhi International Stadium, Uppal",2017-04-09,Indian Premier League,6.0,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,field,Kolkata Knight Riders,,9.0,win,22.0
1082597,2017,6,Wankhede Stadium,2017-04-09,Indian Premier League,7.0,male,T20,T20,20,2017,club,Wankhede Stadium,Chennai Super Kings,Chennai Super Kings,Punjab Kings,field,Chennai Super Kings,,4.0,win,26.0
1082598,2017,6,Holkar Cricket Stadium,2017-04-10,Indian Premier League,8.0,male,T20,T20,20,2017,club,Holkar Cricket Stadium,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,Punjab Kings,,8.0,win,70.0
1082599,2017,6,Maharashtra Cricket Association Stadium,2017-04-11,Indian Premier League,9.0,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,Mumbai Indians,Mumbai Indians,Delhi Capitals,field,Delhi Capitals,97.0,,win,180.0
1082600,2017,6,Wankhede Stadium,2017-04-12,Indian Premier League,10.0,male,T20,T20,20,2017,club,Wankhede Stadium,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,field,Chennai Super Kings,,4.0,win,33.0
1082601,2017,6,Eden Gardens,2017-04-13,Indian Premier League,11.0,male,T20,T20,20,2017,club,Eden Gardens,Punjab Kings,Punjab Kings,Punjab Kings,field,Punjab Kings,,8.0,win,65.0
1082602,2017,6,M Chinnaswamy Stadium,2017-04-14,Indian Premier League,12.0,male,T20,T20,20,2017,club,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,field,Chennai Super Kings,,4.0,win,29.0
1082603,2017,6,Saurashtra Cricket Association Stadium,2017-04-14,Indian Premier League,13.0,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,Delhi Capitals,Delhi Capitals,Mumbai Indians,field,Delhi Capitals,,7.0,win,351.0
1082604,2017,6,Eden Gardens,2017-04-15,Indian Premier League,14.0,male,T20,T20,20,2017,club,Eden Gardens,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,17.0,,win,58.0
1082605,2017,6,Feroz Shah Kotla,2017-04-15,Indian Premier League,15.0,male,T20,T20,20,2017,club,Feroz Shah Kotla,Delhi Capitals,Delhi Capitals,Punjab Kings,bat,Delhi Capitals,51.0,,win,258.0
1082606,2017,6,Wankhede Stadium,2017-04-16,Indian Premier League,16.0,male,T20,T20,20,2017,club,Wankhede Stadium,Chennai Super Kings,Chennai Super Kings,Delhi Capitals,field,Chennai Super Kings,,6.0,win,26.0
1082607,2017,6,M Chinnaswamy Stadium,2017-04-16,Indian Premier League,17.0,male,T20,T20,20,2017,club,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mumbai Indians,field,Mumbai Indians,27.0,,win,37.0
1082608,2017,6,Feroz Shah Kotla,2017-04-17,Indian Premier League,18.0,male,T20,T20,20,2017,club,Feroz Shah Kotla,Delhi Capitals,Delhi Capitals,Punjab Kings,bat,Punjab Kings,,4.0,win,471.0
1082609,2017,6,"Rajiv Gandhi International Stadium, Uppal",2017-04-17,Indian Premier League,19.0,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,Kolkata Knight Riders,5.0,,win,20.0
1082610,2017,6,Saurashtra Cricket Association Stadium,2017-04-18,Indian Premier League,20.0,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,Delhi Capitals,Delhi Capitals,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,21.0,,win,1.0
1082611,2017,6,"Rajiv Gandhi International Stadium, Uppal",2017-04-19,Indian Premier League,21.0,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,15.0,,win,531.0
1082612,2017,6,Holkar Cricket Stadium,2017-04-20,Indian Premier League,22.0,male,T20,T20,20,2017,club,Holkar Cricket Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Chennai Super Kings,,8.0,win,24.0
1082613,2017,6,Eden Gardens,2017-04-21,Indian Premier League,23.0,male,T20,T20,20,2017,club,Eden Gardens,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,,4.0,win,47.0
1082614,2017,6,Wankhede Stadium,2017-04-22,Indian Premier League,25.0,male,T20,T20,20,2017,club,Wankhede Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Chennai Super Kings,14.0,,win,32.0
1082615,2017,6,Maharashtra Cricket Association Stadium,2017-04-22,Indian Premier League,24.0,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,,6.0,win,38.0
1082616,2017,6,Saurashtra Cricket Association Stadium,2017-04-23,Indian Premier League,26.0,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,Delhi Capitals,Delhi Capitals,Punjab Kings,field,Punjab Kings,26.0,,win,67.0
1082617,2017,6,Eden Gardens,2017-04-23,Indian Premier League,27.0,male,T20,T20,20,2017,club,Eden Gardens,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,field,Punjab Kings,82.0,,win,471.0
