match_id,season_id,balls_per_over,city,match_date,event_name,match_number,gender,match_type,format,overs,season,team_type,venue,toss_winner,team1,team2,toss_decision,match_winner,win_by_runs,win_by_wickets,result,player_of_match
335982,2008,6,M Chinnaswamy Stadium,18-04-2008,Indian Premier League,1,male,T20,T20,20,2008,club,M. Chinnaswamy Stadium,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Punjab Kings,field,Punjab Kings,140,,win,46
1082591,2017,6,"Rajiv Gandhi International Stadium, Uppal",05-04-2017,Indian Premier League,1,male,T20,T20,20,2017,club,Rajiv Gandhi International Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders,35,,win,15
1082592,2017,6,Maharashtra Cricket Association Stadium,06-04-2017,Indian Premier League,2,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,Mumbai Indians,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,,7,win,36
1082593,2017,6,Saurashtra Cricket Association Stadium,07-04-2017,Indian Premier League,3,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,field,Punjab Kings,,10,win,57
1082594,2017,6,Holkar Cricket Stadium,08-04-2017,Indian Premier League,4,male,T20,T20,20,2017,club,Holkar Cricket Stadium,Punjab Kings,Punjab Kings,Mumbai Indians,field,Punjab Kings,,6,win,71
1082595,2017,6,M.Chinnaswamy Stadium,08-04-2017,Indian Premier League,5,male,T20,T20,20,2017,club,M. Chinnaswamy Stadium,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,bat,Royal Challengers Bengaluru,15,,win,4
1082596,2017,6,"Rajiv Gandhi International Stadium, Uppal",09-04-2017,Indian Premier League,6,male,T20,T20,20,2017,club,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,field,Kolkata Knight Riders,,9,win,22
1082597,2017,6,Wankhede Stadium,09-04-2017,Indian Premier League,7,male,T20,T20,20,2017,club,Wankhede Stadium,Chennai Super Kings,Chennai Super Kings,Punjab Kings,field,Chennai Super Kings,,4,win,26
1082598,2017,6,Holkar Cricket Stadium,10-04-2017,Indian Premier League,8,male,T20,T20,20,2017,club,Holkar Cricket Stadium,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,Punjab Kings,,8,win,70
1082599,2017,6,Maharashtra Cricket Association Stadium,11-04-2017,Indian Premier League,9,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,Mumbai Indians,Mumbai Indians,Delhi Capitals,field,Delhi Capitals,97,,win,180
1082600,2017,6,Wankhede Stadium,12-04-2017,Indian Premier League,10,male,T20,T20,20,2017,club,Wankhede Stadium,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,field,Chennai Super Kings,,4,win,33
1082601,2017,6,Eden Gardens,13-04-2017,Indian Premier League,11,male,T20,T20,20,2017,club,Eden Gardens,Punjab Kings,Punjab Kings,Punjab Kings,field,Punjab Kings,,8,win,65
1082602,2017,6,M Chinnaswamy Stadium,14-04-2017,Indian Premier League,12,male,T20,T20,20,2017,club,M. Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,field,Chennai Super Kings,,4,win,29
1082603,2017,6,Saurashtra Cricket Association Stadium,14-04-2017,Indian Premier League,13,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,Delhi Capitals,Delhi Capitals,Mumbai Indians,field,Delhi Capitals,,7,win,351
1082604,2017,6,Eden Gardens,15-04-2017,Indian Premier League,14,male,T20,T20,20,2017,club,Eden Gardens,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,17,,win,58
1082605,2017,6,Feroz Shah Kotla,15-04-2017,Indian Premier League,15,male,T20,T20,20,2017,club,Arun Jaitley Stadium,Delhi Capitals,Delhi Capitals,Punjab Kings,bat,Delhi Capitals,51,,win,258
1082606,2017,6,Wankhede Stadium,16-04-2017,Indian Premier League,16,male,T20,T20,20,2017,club,Wankhede Stadium,Chennai Super Kings,Chennai Super Kings,Delhi Capitals,field,Chennai Super Kings,,6,win,26
1082607,2017,6,M Chinnaswamy Stadium,16-04-2017,Indian Premier League,17,male,T20,T20,20,2017,club,M. Chinnaswamy Stadium,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mumbai Indians,field,Mumbai Indians,27,,win,37
